TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
5.844435691833496094e-01,1.726015508174896240e-01,6.062556505203247070e-01,1.102932393550872803e-01,5.801936388015747070e-01,1.576146334409713745e-01,6.727374196052551270e-01,1.539006233215332031e-01,6.403601169586181641e-01,0.000000000000000000e+00,5.569070577621459961e-01,4.431383311748504639e-02,6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02
6.062556505203247070e-01,1.102932393550872803e-01,5.801936388015747070e-01,1.576146334409713745e-01,6.727374196052551270e-01,1.539006233215332031e-01,6.403601169586181641e-01,0.000000000000000000e+00,5.569070577621459961e-01,4.431383311748504639e-02,6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02
5.801936388015747070e-01,1.576146334409713745e-01,6.727374196052551270e-01,1.539006233215332031e-01,6.403601169586181641e-01,0.000000000000000000e+00,5.569070577621459961e-01,4.431383311748504639e-02,6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02
6.727374196052551270e-01,1.539006233215332031e-01,6.403601169586181641e-01,0.000000000000000000e+00,5.569070577621459961e-01,4.431383311748504639e-02,6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01
6.403601169586181641e-01,0.000000000000000000e+00,5.569070577621459961e-01,4.431383311748504639e-02,6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02
5.569070577621459961e-01,4.431383311748504639e-02,6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00
6.204672455787658691e-01,1.300199329853057861e-01,6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02
6.425813436508178711e-01,1.445537209510803223e-01,5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01
5.893965363502502441e-01,2.688138186931610107e-01,6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01
6.310774683952331543e-01,2.656450867652893066e-01,6.171553134918212891e-01,8.414291776716709137e-03,6.403601169586181641e-01,0.000000000000000000e+00,6.466264128684997559e-01,2.321583479642868042e-01,5.870957970619201660e-01,4.533116891980171204e-02,5.022684335708618164e-01,5.199328437447547913e-02,6.367856860160827637e-01,9.428060799837112427e-02,6.275765895843505859e-01,1.331611424684524536e-01,6.353765130043029785e-01,8.157468587160110474e-02,6.403601169586181641e-01,0.000000000000000000e+00,5.626332759857177734e-01,4.816520959138870239e-02,6.730782389640808105e-01,1.737390905618667603e-01,6.816068887710571289e-01,2.636333405971527100e-01,5.802232623100280762e-01,3.583684936165809631e-02
