TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
2.701479196548461914e-01,3.790474534034729004e-01,2.860748767852783203e-01,2.020495086908340454e-01,3.744416236877441406e-01,3.020762205123901367e-01,7.747653126716613770e-02,1.561165750026702881e-01,9.794121980667114258e-01,9.999999403953552246e-01,3.055513501167297363e-01,3.428134918212890625e-01,3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01
2.860748767852783203e-01,2.020495086908340454e-01,3.744416236877441406e-01,3.020762205123901367e-01,7.747653126716613770e-02,1.561165750026702881e-01,9.794121980667114258e-01,9.999999403953552246e-01,3.055513501167297363e-01,3.428134918212890625e-01,3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01
3.744416236877441406e-01,3.020762205123901367e-01,7.747653126716613770e-02,1.561165750026702881e-01,9.794121980667114258e-01,9.999999403953552246e-01,3.055513501167297363e-01,3.428134918212890625e-01,3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01
7.747653126716613770e-02,1.561165750026702881e-01,9.794121980667114258e-01,9.999999403953552246e-01,3.055513501167297363e-01,3.428134918212890625e-01,3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01
9.794121980667114258e-01,9.999999403953552246e-01,3.055513501167297363e-01,3.428134918212890625e-01,3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01,2.539301514625549316e-01,1.150337159633636475e-01
3.055513501167297363e-01,3.428134918212890625e-01,3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01,2.539301514625549316e-01,1.150337159633636475e-01,7.476274371147155762e-01,7.489468455314636230e-01
3.029643893241882324e-01,1.613639444112777710e-01,3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01,2.539301514625549316e-01,1.150337159633636475e-01,7.476274371147155762e-01,7.489468455314636230e-01,4.229184985160827637e-01,3.182300329208374023e-01
3.779314160346984863e-01,2.994888126850128174e-01,3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01,2.539301514625549316e-01,1.150337159633636475e-01,7.476274371147155762e-01,7.489468455314636230e-01,4.229184985160827637e-01,3.182300329208374023e-01,3.076343536376953125e-01,3.180036544799804688e-01
3.529836833477020264e-01,1.861695796251296997e-01,3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01,2.539301514625549316e-01,1.150337159633636475e-01,7.476274371147155762e-01,7.489468455314636230e-01,4.229184985160827637e-01,3.182300329208374023e-01,3.076343536376953125e-01,3.180036544799804688e-01,1.860756278038024902e-01,1.250950992107391357e-01
3.813484907150268555e-01,2.335356175899505615e-01,4.153665006160736084e-01,2.876860499382019043e-01,4.811688661575317383e-01,5.282133221626281738e-01,2.748595476150512695e-01,2.112291157245635986e-01,4.984089136123657227e-01,3.273304998874664307e-01,2.902569174766540527e-01,1.983399838209152222e-01,3.947585523128509521e-01,3.230960071086883545e-01,1.882982701063156128e-01,2.028317898511886597e-01,2.539301514625549316e-01,1.150337159633636475e-01,7.476274371147155762e-01,7.489468455314636230e-01,4.229184985160827637e-01,3.182300329208374023e-01,3.076343536376953125e-01,3.180036544799804688e-01,1.860756278038024902e-01,1.250950992107391357e-01,4.721595644950866699e-01,3.213559389114379883e-01
